ipl_name,old_name
Sandeep Lamichhane,S Lamichhane
Amit Mishra,A Mishra
Harshal Patel,HV Patel
Keemo Paul,KMA Paul
Ajinkya Rahane,AM Rahane
Daniel Sams,D Sams
Ishant Sharma,I Sharma
Lalit Yadav,L Yadav
Arshdeep Singh,Arshdeep Singh
Murugan Ashwin,M Ashwin
Chris Gayle,CH Gayle
Harpreet Brar,H Brar
Deepak Hooda,DJ Hooda
Mandeep Singh,Mandeep Singh
Mujeeb Ur Rahman,Mujeeb Ur Rahman
Darshan Nalkande,D Nalkande
James Neesham,JDS Neesham
Ishan Porel,I Porel
Simran Singh,P Simran Singh
Jagadeesha Suchith,J Suchith
Tajinder Singh,T Singh
Hardus Viljoen,GC Viljoen
Steven Smith,SPD Smith
Varun Aaron,VR Aaron
Akash Singh,A Singh
Anuj Rawat,A Rawat
Jos Buttler,JC Buttler
Yashasvi Jaiswal,Y Jaiswal
Aniruddha Joshi,A Joshi
Kartik Tyagi,K Tyagi
Mahipal Lomror,MK Lomror
Mayank Markande,M Markande
Ankit Rajpoot,AS Rajpoot
Shashank Singh,S Singh
Ben Stokes,BA Stokes
Oshane Thomas,O Thomas
Andrew Tye,AJ Tye
Manan Vohra,M Vohra
KM Asif,M Asif
Dwayne Bravo,DJ Bravo
Josh Hazlewood,Josh Hazlewood
Imran Tahir,Imran Tahir
Narayan Jagadeesan,N Jagadeesan
Monu Kumar,M Kumar
Ravisrinivasan Sai Kishore,RS Kishore
Mitchell Santner,MJ Santner
Karn Sharma,KV Sharma
Shardul Thakur,SN Thakur
Dinesh Karthik,KD Kartik
Mitchell Marsh,MR Marsh
Sam Billings,S Billings
Chris Woakes,Chris Woakes
Ben Cutting,B Cutting
Shakib Al Hasan,SA Hasan
Marco Jansen,M Jansen
Moises Henriques,M Henriques
Riley Meredith,R Meredith
Dawid Malan,D Malan
Jhye Richardson,J Richardson
Shahrukh Khan,Shahrukh Khan
Jalaj Saxena,J Saxena
KC Cariappa,KC Cariappa
Mustafizur Rahman,M Rahman
Chetan Sakariya,C Sakariya
Dan Christian,D Christian
Kylie Jamieson,K Jamieson
Mohammed Azharuddeen,Mohammed Azharuddeen
Jason Roy,Jason Roy
Virat Singh,Virat Singh
