matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy,rewards_earned
501249,679.5,765.5,11.0,0.11234487263226649,75.0
501250,333.5,650.5,11.0,0.4873174481168332,-50.0
501251,509.0,816.0,11.0,0.3762254901960784,-50.0
501252,497.0,635.5,11.0,0.2179386309992132,0.0
501253,429.0,656.0,11.0,0.34603658536585363,-50.0
501254,389.0,757.0,11.0,0.4861294583883752,-50.0
501255,355.0,483.0,11.0,0.2650103519668737,-50.0
501256,266.0,656.5,11.0,0.5948210205635949,-50.0
501257,590.0,782.0,11.0,0.24552429667519182,0.0
501258,187.0,674.0,11.0,0.7225519287833828,-50.0
501259,469.0,631.0,11.0,0.25673534072900156,-50.0
501260,880.0,947.0,11.0,0.07074973600844774,950.0
501261,333.0,590.0,11.0,0.43559322033898307,-50.0
501262,464.5,586.5,11.0,0.20801364023870417,0.0
501263,618.0,682.0,11.0,0.093841642228739,350.0
501264,732.0,851.0,11.0,0.1398354876615746,75.0
501266,411.0,715.5,11.0,0.42557651991614254,-50.0
501267,343.0,715.0,11.0,0.5202797202797202,-50.0
501268,569.5,665.5,11.0,0.14425244177310292,75.0
501269,301.0,709.0,11.0,0.5754583921015515,-50.0
501270,503.0,747.5,11.0,0.32709030100334446,-50.0
501271,459.0,779.0,11.0,0.41078305519897307,-50.0
548306,271.0,572.0,11.0,0.5262237762237763,-50.0
548307,371.0,530.0,11.0,0.3,-50.0
548308,565.0,737.5,11.0,0.23389830508474577,0.0
548309,519.0,809.0,11.0,0.3584672435105068,-50.0
548310,379.0,674.0,11.0,0.43768545994065283,-50.0
548311,753.5,917.5,11.0,0.1787465940054496,50.0
548312,285.0,714.0,11.0,0.6008403361344538,-50.0
548313,371.5,624.5,11.0,0.40512409927942356,-50.0
548314,639.0,825.0,11.0,0.22545454545454546,0.0
548315,356.0,877.0,11.0,0.5940706955530216,-50.0
548316,395.0,437.0,11.0,0.09610983981693363,350.0
548317,695.0,1016.0,11.0,0.3159448818897638,-50.0
548318,485.0,864.0,11.0,0.4386574074074074,-50.0
548319,344.5,710.5,11.0,0.5151301900070373,-50.0
548320,255.5,544.5,11.0,0.5307621671258035,-50.0
548321,560.0,818.5,11.0,0.3158216249236408,-50.0
548322,262.0,567.5,11.0,0.5383259911894274,-50.0
548323,346.0,809.0,11.0,0.5723114956736712,-50.0
548324,469.0,842.0,11.0,0.44299287410926363,-50.0
548325,375.0,565.0,11.0,0.336283185840708,-50.0
548326,659.0,730.0,11.0,0.09726027397260274,350.0
548327,432.0,724.5,11.0,0.40372670807453415,-50.0
548328,298.5,573.5,11.0,0.47951176983435045,-50.0
548329,745.5,827.5,11.0,0.09909365558912386,350.0
