matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points,total_points_avg
734009,MK Pandey,15.0,22.0,22.0,,,1.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,,,,,,,,,nan,225.0,,,0,225.0,,0,,0,0.0,225.0,1076.2
734009,PP Chawla,,,,,,,,,,1.0,24.0,24.0,32.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,8.0,Bowler,,,,0,0.0,25.0,0,0.0,0,25.0,25.0,31.5
734009,PP Ojha,,,,,,,,,,,24.0,24.0,25.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,6.25,Bowler,,,,0,0.0,,0,0.0,0,0.0,0.0,7.7
734009,RG Sharma,52.0,46.0,46.0,2.0,4.0,2.0,1st innings,Mumbai Indians,Kolkata Knight Riders,,,,,,,,,,All Rounder,2704.0,4.0,4.0,8,2720.0,,0,,0,0.0,2720.0,932.6
734009,RV Uthappa,81.0,53.0,53.0,3.0,9.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,,,,,,,,,nan,6561.0,6.0,9.0,8,6584.0,,0,,0,0.0,6584.0,1636.2
734009,SL Malinga,,,,,,,,,,1.0,25.0,25.0,27.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,6.48,Bowler,,,,0,0.0,25.0,0,0.0,0,25.0,25.0,45.7
734009,SP Narine,,,,,,,,,,1.0,24.0,24.0,18.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,4.5,All Rounder,,,,0,0.0,25.0,4,0.0,0,29.0,29.0,41.6
734009,Shakib Al Hasan,9.0,8.0,8.0,,1.0,3.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,1.0,24.0,24.0,21.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,5.25,All Rounder,81.0,,1.0,0,82.0,25.0,2,0.0,0,27.0,109.0,529.9
734009,UT Yadav,,,,,,,,,,,18.0,18.0,24.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,8.0,Bowler,,,,0,0.0,,0,0.0,0,0.0,0.0,36.7
734009,YK Pathan,21.0,14.0,14.0,,3.0,2.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,6.0,6.0,10.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,10.0,All Rounder,441.0,,3.0,0,444.0,,-4,0.0,0,-4.0,440.0,996.1
734011,AM Rahane,70.0,51.0,51.0,1.0,9.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,All Rounder,4900.0,2.0,9.0,8,4919.0,,0,,0,0.0,4919.0,1208.5
734011,BCJ Cutting,9.0,6.0,6.0,1.0,,4.0,1st innings,Rajasthan Royals,Delhi Daredevils,1.0,24.0,24.0,31.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,7.75,All Rounder,81.0,2.0,,0,83.0,25.0,0,0.0,0,25.0,108.0,
734011,DS Kulkarni,,,,,,,,,,1.0,26.0,26.0,22.0,1.0,2nd innings,Delhi Daredevils,Rajasthan Royals,5.076923076923077,Bowler,,,,0,0.0,25.0,2,8.0,0,35.0,35.0,106.6
734011,Imran Tahir,4.0,6.0,6.0,,1.0,7.0,2nd innings,Delhi Daredevils,Rajasthan Royals,2.0,24.0,24.0,25.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,6.25,Bowler,16.0,,1.0,0,17.0,50.0,0,0.0,0,50.0,67.0,
734011,JP Duminy,8.0,8.0,8.0,1.0,,2.0,2nd innings,Delhi Daredevils,Rajasthan Royals,1.0,20.0,20.0,23.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,6.9,All Rounder,64.0,2.0,,0,66.0,25.0,0,0.0,0,25.0,91.0,1604.6
734011,JP Faulkner,24.0,8.0,8.0,3.0,,5.0,1st innings,Rajasthan Royals,Delhi Daredevils,1.0,6.0,6.0,6.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,6.0,All Rounder,576.0,6.0,,0,582.0,25.0,2,0.0,0,27.0,609.0,229.2
734011,KD Karthik,3.0,8.0,8.0,,,1.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,nan,9.0,,,0,9.0,,0,,0,0.0,9.0,972.9
734011,KK Cooper,36.0,17.0,17.0,3.0,2.0,1.0,1st innings,Rajasthan Royals,Delhi Daredevils,1.0,19.0,19.0,18.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,5.684210526315789,Bowler,1296.0,6.0,2.0,0,1304.0,25.0,2,0.0,0,27.0,1331.0,102.0
734011,KK Nair,19.0,14.0,14.0,1.0,1.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,nan,361.0,2.0,1.0,0,364.0,,0,,0,0.0,364.0,
734011,KM Jadhav,3.0,3.0,3.0,,,5.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,nan,9.0,,,0,9.0,,0,,0,0.0,9.0,516.7
734011,KP Pietersen,17.0,20.0,20.0,,1.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,All Rounder,289.0,,1.0,0,290.0,,0,,0,0.0,290.0,813.5
734011,LRPL Taylor,5.0,6.0,6.0,,,4.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,All Rounder,25.0,,,0,25.0,,0,,0,0.0,25.0,371.6
734011,MA Agarwal,17.0,10.0,10.0,,3.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,nan,289.0,,3.0,0,292.0,,0,,0,0.0,292.0,401.3
734011,MK Tiwary,65.0,47.0,47.0,2.0,5.0,3.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,12.0,12.0,28.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,14.0,All Rounder,4225.0,4.0,5.0,8,4242.0,,-6,0.0,0,-6.0,4236.0,286.0
734011,PV Tambe,,,,,,,,,,1.0,20.0,20.0,22.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,6.6,Bowler,,,,0,0.0,25.0,0,0.0,0,25.0,25.0,38.5
734011,R Bhatia,,,,,,,,,,2.0,19.0,19.0,17.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,5.368421052631579,Bowler,,,,0,0.0,50.0,2,0.0,0,52.0,52.0,127.9
734011,R Shukla,14.0,12.0,12.0,,2.0,8.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,25.0,25.0,43.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,10.32,Bowler,196.0,,2.0,0,198.0,,-4,0.0,0,-4.0,194.0,
734011,S Kaul,2.0,2.0,2.0,,,9.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,18.0,18.0,34.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,11.333333333333334,Bowler,4.0,,,0,4.0,,-6,0.0,0,-6.0,-2.0,
734011,S Nadeem,1.0,4.0,4.0,,,6.0,2nd innings,Delhi Daredevils,Rajasthan Royals,2.0,26.0,26.0,33.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,7.615384615384615,Bowler,1.0,,,0,1.0,50.0,0,0.0,0,50.0,51.0,22.1
734011,STR Binny,0.0,2.0,2.0,,,3.0,1st innings,Rajasthan Royals,Delhi Daredevils,1.0,12.0,12.0,14.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,7.0,All Rounder,0.0,,,-2,-2.0,25.0,0,0.0,0,25.0,23.0,347.2
