matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
335987,B Lee,0,2,2,,,6,1st innings,Kings XI Punjab,Rajasthan Royals,1,26,26,33,0,2nd innings,Rajasthan Royals,Kings XI Punjab,7.615384615,Bowler,0,,,-2,-2,25,0,0,0,25,23
335987,DPMD Jayawardene,3,5,5,,,2,1st innings,Kings XI Punjab,Rajasthan Royals,,,,,,,,,,Batsmen,3,,,0,3,,0,,0,,3
335987,DS Lehmann,19,17,17,,3,3,2nd innings,Rajasthan Royals,Kings XI Punjab,,,,,,,,,,Batsmen,19,,3,0,22,,0,,0,,22
335987,IK Pathan,12,19,19,1,,4,1st innings,Kings XI Punjab,Rajasthan Royals,1,26,26,19,0,2nd innings,Rajasthan Royals,Kings XI Punjab,4.384615385,AllRounder,12,2,,0,14,25,4,0,0,29,43
335987,JR Hopes,16,16,16,,2,0,1st innings,Kings XI Punjab,Rajasthan Royals,1,25,25,32,0,2nd innings,Rajasthan Royals,Kings XI Punjab,7.68,AllRounder,16,,2,0,18,25,0,0,0,25,43
335987,K Goel,26,21,21,2,3,0,1st innings,Kings XI Punjab,Rajasthan Royals,,,,,,,,,,Batsmen,26,4,3,0,33,,0,,0,,33
335987,KC Sangakkara,20,8,8,1,3,1,1st innings,Kings XI Punjab,Rajasthan Royals,,,,,,,,,,Batsmen,20,2,3,0,25,,0,,0,,25
335987,Kamran Akmal,17,10,10,1,1,1,2nd innings,Rajasthan Royals,Kings XI Punjab,,,,,,,,,,Batsmen,17,2,1,0,20,,0,,0,,20
335987,M Kaif,6,8,8,,1,0,2nd innings,Rajasthan Royals,Kings XI Punjab,,,,,,,,,,Batsmen,6,,1,0,7,,0,,0,,7
335987,PP Chawla,25,11,11,,4,7,1st innings,Kings XI Punjab,Rajasthan Royals,,12,12,27,0,2nd innings,Rajasthan Royals,Kings XI Punjab,13.5,Bowler,25,,4,0,29,,-6,0,0,-6,23
335987,RA Jadeja,39,27,27,1,5,4,2nd innings,Rajasthan Royals,Kings XI Punjab,,,,,,,,,,AllRounder,39,2,5,0,46,,0,,0,,46
335987,S Sohal,4,4,4,,,5,1st innings,Kings XI Punjab,Rajasthan Royals,,,,,,,,,,Batsmen,4,,,0,4,,0,,0,,4
335987,SR Watson,79,51,51,5,5,2,2nd innings,Rajasthan Royals,Kings XI Punjab,,25,25,38,0,1st innings,Kings XI Punjab,Rajasthan Royals,9.12,AllRounder,79,10,5,8,102,,-2,0,0,-2,100
335987,WA Mota,1,1,1,,,8,1st innings,Kings XI Punjab,Rajasthan Royals,,6,6,12,0,2nd innings,Rajasthan Royals,Kings XI Punjab,12,Bowler,1,,,0,1,,-6,0,0,-6,-5
335987,YK Pathan,8,6,6,,1,1,2nd innings,Rajasthan Royals,Kings XI Punjab,,6,6,13,0,1st innings,Kings XI Punjab,Rajasthan Royals,13,AllRounder,8,,1,0,9,,-6,0,0,-6,3
335987,Yuvraj Singh,59,35,35,3,6,3,1st innings,Kings XI Punjab,Rajasthan Royals,,,,,,,,,,AllRounder,59,6,6,8,79,,0,,0,,79
335988,A Symonds,12,13,13,,2,2,1st innings,Deccan Chargers,Delhi Daredevils,,12,12,35,0,2nd innings,Delhi Daredevils,Deccan Chargers,17.5,AllRounder,12,,2,0,14,,-6,0,0,-6,8
335988,AC Gilchrist,9,9,9,1,,0,1st innings,Deccan Chargers,Delhi Daredevils,,,,,,,,,,Batsmen,9,2,,0,11,,0,,0,,11
335988,AS Yadav,12,7,7,,2,6,1st innings,Deccan Chargers,Delhi Daredevils,,,,,,,,,,Batsmen,12,,2,0,14,,0,,0,,14
335988,G Gambhir,12,9,9,,2,0,2nd innings,Delhi Daredevils,Deccan Chargers,,,,,,,,,,Batsmen,12,,2,0,14,,0,,0,,14
335988,RG Sharma,67,37,37,4,6,3,1st innings,Deccan Chargers,Delhi Daredevils,,,,,,,,,,Batsmen,67,8,6,8,89,,0,,0,,89
335988,RP Singh,1,1,1,,,8,1st innings,Deccan Chargers,Delhi Daredevils,1,19,19,26,0,2nd innings,Delhi Daredevils,Deccan Chargers,8.210526316,Bowler,1,,,0,1,25,0,0,0,25,26
335988,S Dhawan,29,31,31,,3,1,2nd innings,Delhi Daredevils,Deccan Chargers,,,,,,,,,,Batsmen,29,,3,0,32,,0,,0,,32
335988,SB Bangar,9,14,14,,,5,1st innings,Deccan Chargers,Delhi Daredevils,,13,13,29,0,2nd innings,Delhi Daredevils,Deccan Chargers,13.38461538,Bowler,9,,,0,9,,-6,0,0,-6,3
335988,Shahid Afridi,2,7,7,,,4,1st innings,Deccan Chargers,Delhi Daredevils,,12,12,17,0,2nd innings,Delhi Daredevils,Deccan Chargers,8.5,Bowler,2,,,0,2,,0,0,0,0,2
335988,V Sehwag,102,43,43,6,10,0,2nd innings,Delhi Daredevils,Deccan Chargers,,,,,,,,,,Batsmen,102,12,10,24,148,,0,,0,,148
335988,VVS Laxman,2,6,6,,,1,1st innings,Deccan Chargers,Delhi Daredevils,,,,,,,,,,Batsmen,2,,,0,2,,0,,0,,2
335988,WPUJC Vaas,14,6,6,,,7,1st innings,Deccan Chargers,Delhi Daredevils,,19,19,21,1,2nd innings,Delhi Daredevils,Deccan Chargers,6.631578947,Bowler,14,,,0,14,,0,8,0,8,22
335988,Y Venugopal Rao,14,22,22,,2,0,1st innings,Deccan Chargers,Delhi Daredevils,,,,,,,,,,Batsmen,14,,2,0,16,,0,,0,,16
335989,A Nehra,1,2,2,,,7,2nd innings,Mumbai Indians,Chennai Super Kings,1,27,27,32,0,1st innings,Chennai Super Kings,Mumbai Indians,7.111111111,Bowler,1,,,0,1,25,0,0,0,25,26
335989,AM Nayar,46,20,20,1,6,4,2nd innings,Mumbai Indians,Chennai Super Kings,,6,6,14,0,1st innings,Chennai Super Kings,Mumbai Indians,14,Batsmen,46,2,6,0,54,,-6,0,0,-6,48
335989,DJ Bravo,25,17,17,1,2,3,2nd innings,Mumbai Indians,Chennai Super Kings,,19,19,35,0,1st innings,Chennai Super Kings,Mumbai Indians,11.05263158,AllRounder,25,2,2,0,29,,-6,0,0,-6,23
