matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_catboost,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
598042,V Kohli,Batsmen,Royal Challengers Bangalore,10,28.0,34.36683171357692,34.36683171357692,5.0,1.0,10.0,1.0
598042,Yuvraj Singh,AllRounder,Pune Warriors,10,14.0,35.597875887476,35.597875887476,3.0,1.0,,
598043,AA Chavan,Bowler,Rajasthan Royals,10,25.0,24.63247707600083,24.63247707600083,,,10.0,1.0
598043,AM Rahane,Batsmen,Rajasthan Royals,10,7.0,31.82132008662792,31.82132008662792,7.0,1.0,,
598043,DH Yagnik,Batsmen,Rajasthan Royals,10,12.0,22.582488481524976,22.582488481524976,,,,
598043,G Gambhir,Batsmen,Kolkata Knight Riders,10,15.0,34.983469270389854,34.983469270389854,3.0,1.0,,
598043,GB Hogg,Bowler,Rajasthan Royals,10,0.0,26.04674602009697,26.04674602009697,,,,
598043,Iqbal Abdulla,Bowler,Kolkata Knight Riders,10,25.0,24.94278289510112,24.94278289510112,,,9.0,1.0
598043,JH Kallis,AllRounder,Kolkata Knight Riders,10,62.0,45.20387265312619,67.80580897968929,1.0,1.0,2.0,1.0
598043,JP Faulkner,Bowler,Rajasthan Royals,10,7.0,33.44792552145076,33.44792552145076,6.0,1.0,,
598043,MS Bisla,Batsmen,Kolkata Knight Riders,10,43.0,37.937839350988924,37.937839350988924,2.0,1.0,5.0,1.0
598043,OA Shah,Batsmen,Rajasthan Royals,10,27.0,23.87851099207673,23.87851099207673,,,8.0,1.0
598043,R Bhatia,Bowler,Kolkata Knight Riders,10,27.0,26.862103497104503,26.862103497104503,,,7.0,1.0
598043,R Dravid,Batsmen,Rajasthan Royals,10,7.0,34.04239874817032,34.04239874817032,4.0,1.0,,
598043,S Narwal,Bowler,Kolkata Knight Riders,10,0.0,23.86961811225026,23.86961811225026,,,,
598043,SK Trivedi,Bowler,Rajasthan Royals,10,0.0,25.07865263103106,25.07865263103106,,,,
598043,SMSM Senanayake,Bowler,Kolkata Knight Riders,10,52.0,27.219693200475284,27.219693200475284,10.0,1.0,3.0,1.0
598043,SP Narine,Bowler,Kolkata Knight Riders,10,29.0,29.29722470581053,29.29722470581053,9.0,1.0,6.0,1.0
598043,SR Watson,AllRounder,Rajasthan Royals,10,140.0,50.0162250981661,100.0324501963322,0.0,1.0,0.0,1.0
598043,STR Binny,AllRounder,Rajasthan Royals,10,3.0,33.894181940063035,33.894181940063035,5.0,1.0,,
598043,SV Samson,Batsmen,Rajasthan Royals,10,45.0,27.355935562237548,27.355935562237548,,,4.0,1.0
598043,YK Pathan,AllRounder,Kolkata Knight Riders,10,100.5,30.71118028608125,30.71118028608125,8.0,1.0,1.0,1.0
598044,A Ashish Reddy,Bowler,Sunrisers Hyderabad,10,7.0,22.746731924000468,22.746731924000468,,,,
598044,A Mishra,Bowler,Sunrisers Hyderabad,10,31.0,34.06654061069767,34.06654061069767,3.0,1.0,6.0,1.0
598044,A Nehra,Bowler,Delhi Daredevils,10,25.0,26.469799478861567,26.469799478861567,,,,
598044,BMAJ Mendis,AllRounder,Delhi Daredevils,10,38.0,31.788150430404862,31.788150430404862,,,5.0,1.0
598044,DA Warner,Batsmen,Delhi Daredevils,10,9.0,31.585462308329593,31.585462308329593,8.0,1.0,,
598044,DJG Sammy,AllRounder,Sunrisers Hyderabad,10,152.0,33.492526197472785,33.492526197472785,5.0,1.0,0.0,1.0
598044,DPMD Jayawardene,Batsmen,Delhi Daredevils,10,14.0,32.345071384652144,32.345071384652144,7.0,1.0,,
598044,DW Steyn,Bowler,Sunrisers Hyderabad,10,52.0,29.309156146912,29.309156146912,9.0,1.0,3.0,1.0
598044,GH Vihari,Batsmen,Sunrisers Hyderabad,10,15.0,25.563671197901858,25.563671197901858,,,,
598044,I Sharma,Bowler,Sunrisers Hyderabad,10,39.0,27.862491909629306,27.862491909629306,10.0,1.0,4.0,1.0
598044,IK Pathan,AllRounder,Delhi Daredevils,10,15.0,33.985780039031155,33.985780039031155,4.0,1.0,,
598044,J Botha,AllRounder,Delhi Daredevils,10,57.0,32.77606117072175,32.77606117072175,6.0,1.0,2.0,1.0
598044,KC Sangakkara,Batsmen,Sunrisers Hyderabad,10,8.0,29.341230623046336,29.341230623046336,,,,
598044,KM Jadhav,Batsmen,Delhi Daredevils,10,3.0,20.611826747172188,20.611826747172188,,,,
598044,KV Sharma,Bowler,Sunrisers Hyderabad,10,29.0,25.591434200270943,25.591434200270943,,,7.0,1.0
598044,NLTC Perera,AllRounder,Sunrisers Hyderabad,10,96.0,39.24500377331201,58.86750565996801,1.0,1.0,1.0,1.0
598044,PA Patel,Batsmen,Sunrisers Hyderabad,10,15.0,30.33995509028632,30.33995509028632,,,10.0,1.0
598044,S Dhawan,Batsmen,Sunrisers Hyderabad,10,26.0,43.39582938422966,86.79165876845931,0.0,1.0,8.0,1.0
598044,S Nadeem,Bowler,Delhi Daredevils,10,4.0,25.60926699852311,25.60926699852311,,,,
598044,UBT Chand,Batsmen,Delhi Daredevils,10,25.0,27.84510093025465,27.84510093025465,,,9.0,1.0
598044,UT Yadav,Bowler,Delhi Daredevils,10,2.0,27.746475928402706,27.746475928402706,,,,
598044,V Sehwag,Batsmen,Delhi Daredevils,10,8.0,35.31703215775529,35.31703215775529,2.0,1.0,,
598045,AB de Villiers,Batsmen,Royal Challengers Bangalore,10,8.0,30.79692547931709,30.79692547931709,8.0,1.0,,
598045,AC Gilchrist,Batsmen,Kings XI Punjab,10,172.5,33.65173059276961,33.65173059276961,6.0,1.0,1.0,1.0
598045,Azhar Mahmood,AllRounder,Kings XI Punjab,10,266.0,40.470320506231076,60.705480759346614,1.0,1.0,0.0,1.0
598045,CA Pujara,Batsmen,Royal Challengers Bangalore,10,22.0,20.997905075390445,20.997905075390445,,,7.0,1.0
598045,CH Gayle,Batsmen,Royal Challengers Bangalore,10,104.0,53.539154242948406,107.07830848589681,0.0,1.0,2.0,1.0
598045,DA Miller,Batsmen,Kings XI Punjab,10,2.0,30.427177954066448,30.427177954066448,9.0,1.0,,
598045,JD Unadkat,Bowler,Royal Challengers Bangalore,10,25.0,27.157117449965053,27.157117449965053,,,6.0,1.0
598045,KL Rahul,Batsmen,Royal Challengers Bangalore,10,10.0,25.681848114598537,25.681848114598537,,,,
598045,M Muralitharan,Bowler,Royal Challengers Bangalore,10,19.0,26.90141812607932,26.90141812607932,,,8.0,1.0
598045,MC Henriques,AllRounder,Royal Challengers Bangalore,10,-8.0,40.41999707381449,40.41999707381449,2.0,1.0,,
