matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy
1082648,232.0,385.0,10,0.3974025974025974
1082649,193.0,523.0,10,0.6309751434034416
1082650,281.0,526.0,10,0.46577946768060835
1136561,356.0,578.0,10,0.38408304498269896
1136562,453.0,508.0,10,0.10826771653543307
1136563,453.0,606.0,10,0.2524752475247525
1136564,331.0,452.0,10,0.2676991150442478
1136565,295.0,575.0,10,0.48695652173913045
1136566,253.0,360.0,10,0.2972222222222222
1136567,316.0,566.0,10,0.4416961130742049
1136568,336.0,585.0,10,0.4256410256410256
1136569,299.0,612.0,10,0.511437908496732
1136570,382.0,540.0,10,0.29259259259259257
1136571,355.0,586.0,10,0.39419795221843
1136572,353.0,562.0,10,0.3718861209964413
1136573,441.0,654.0,10,0.3256880733944954
1136574,454.0,695.0,11,0.34676258992805753
1136575,293.0,506.0,10,0.4209486166007905
1136576,360.0,561.0,10,0.3582887700534759
1136577,456.0,685.0,10,0.3343065693430657
1136578,437.0,531.0,10,0.17702448210922786
1136579,272.0,539.0,10,0.49536178107606677
1136580,271.0,597.0,10,0.5460636515912898
1136581,307.0,599.0,10,0.48747913188647746
1136582,356.0,521.0,10,0.31669865642994244
1136583,338.0,524.0,10,0.3549618320610687
1136584,481.0,681.0,10,0.2936857562408223
1136585,214.0,641.0,10,0.6661466458658346
1136586,388.0,663.0,10,0.41478129713423834
1136587,261.0,554.0,10,0.5288808664259927
1136588,348.0,532.0,10,0.3458646616541353
1136589,286.0,536.0,10,0.4664179104477612
1136590,405.0,608.0,10,0.3338815789473684
1136591,332.0,530.0,10,0.37358490566037733
1136592,450.0,576.0,10,0.21875
1136593,309.0,538.0,10,0.4256505576208178
1136594,366.0,469.0,10,0.21961620469083157
1136595,255.0,484.0,10,0.4731404958677686
1136596,170.0,482.0,10,0.6473029045643154
1136597,494.0,572.0,10,0.13636363636363635
1136598,392.0,511.0,10,0.2328767123287671
1136599,422.0,538.0,10,0.21561338289962825
1136600,401.0,650.0,10,0.3830769230769231
1136601,399.0,566.0,10,0.2950530035335689
1136602,348.0,576.0,10,0.3958333333333333
1136603,369.0,486.0,10,0.24074074074074073
1136604,632.0,750.0,11,0.15733333333333333
1136605,402.0,542.0,10,0.25830258302583026
1136606,480.0,584.0,10,0.1780821917808219
1136607,392.0,574.0,10,0.3170731707317073
1136608,263.0,393.0,10,0.33078880407124683
1136609,322.0,595.0,10,0.4588235294117647
1136610,450.0,656.0,10,0.31402439024390244
1136611,327.0,654.0,10,0.5
1136612,272.0,511.0,10,0.46771037181996084
1136613,339.0,672.0,10,0.4955357142857143
1136614,429.0,600.0,10,0.285
1136615,307.0,566.0,10,0.4575971731448763
