matchid,pred_points_player,actual_points_player,pred_selection_cnt,error,rewards_earned
392237,587.0,767.0,11.0,0.23468057366362452,0.0
392238,423.0,536.5,11.0,0.21155638397017706,0.0
392239,622.5,790.5,11.0,0.2125237191650854,0.0
419106,538.0,711.0,11.0,0.24331926863572434,0.0
419107,512.0,799.0,11.0,0.3591989987484355,-50.0
419108,596.5,683.5,11.0,0.12728602779809803,75.0
419109,563.0,709.0,11.0,0.2059238363892807,0.0
419110,687.5,757.5,11.0,0.0924092409240924,350.0
419111,414.0,554.5,11.0,0.2533814247069432,-50.0
419112,656.0,811.0,11.0,0.19112207151664612,50.0
419113,433.0,648.5,11.0,0.3323053199691596,-50.0
419114,564.0,761.5,11.0,0.2593565331582403,-50.0
419115,572.5,606.5,11.0,0.05605935696619951,3950.0
419116,627.0,761.0,11.0,0.17608409986859397,50.0
419117,680.5,736.5,11.0,0.07603530210454854,950.0
419118,419.0,592.5,11.0,0.29282700421940927,-50.0
419119,432.0,694.5,11.0,0.3779697624190065,-50.0
419120,514.0,710.5,11.0,0.2765657987332864,-50.0
419121,600.5,702.5,11.0,0.14519572953736654,75.0
419122,514.5,647.5,11.0,0.20540540540540542,0.0
419123,440.0,701.0,11.0,0.3723252496433666,-50.0
419124,465.5,681.5,11.0,0.31694790902421127,-50.0
419125,508.5,721.5,11.0,0.29521829521829523,-50.0
419126,558.5,658.5,11.0,0.15186028853454822,50.0
419127,599.5,735.5,11.0,0.1849082256968049,50.0
419128,336.0,608.0,11.0,0.4473684210526316,-50.0
419129,554.5,687.5,11.0,0.19345454545454546,50.0
419130,718.5,900.5,11.0,0.20210993892282064,0.0
419131,680.5,802.5,11.0,0.15202492211838006,50.0
419132,673.5,796.5,11.0,0.1544256120527307,50.0
419133,321.0,681.0,11.0,0.5286343612334802,-50.0
419134,419.0,737.0,11.0,0.4314789687924016,-50.0
419135,650.0,760.0,11.0,0.14473684210526316,75.0
419136,480.0,581.5,11.0,0.17454858125537404,50.0
419137,878.5,1037.5,11.0,0.15325301204819278,50.0
